"skjemanavn";"navn_i_rapporteket";"ledetekst";"obligatorisk";"type";"listeverdier";"listetekst";"normalintervall_start_numerisk";"normalintervall_slutt_numerisk";"maksintervall_start_numerisk";"maksintervall_slutt_numerisk";"normalintervall_start_dato";"normalintervall_slutt_dato";"maksintervall_start_dato";"maksintervall_slutt_dato";"antall_tegn";"lovlige_tegn";"desimaler";"aktiveringsspoersmaal";"underspoersmaal";"innfoert_dato";"utfaset_dato";"tabell";"fysisk_feltnavn";"kommentar";"variabel_id";"hjelpetekst"
"Personopplysninger";"Ikke overført";"Kommentar:";"Nei";"Stor tekstvariabel";"";"";"";"";"";"";;;;;2000;"aAáÁbBcCdDðÐeEéÉfFgGhHiIíÍjJkKlLmMnNoOóÓpPqQrRsStTuUvúÚVwWxXyYýÝzZþÞæÆøØåÅäÄöÖñÑéÉ-ü ÜáÁ´_/,.- + 1234567890ØøÜüß@_-!%:;?";;"Nei";"Nei";"1980-01-01";"";"patient";"USERCOMMENT";;"PATIENT_USERCOMMENT";"Generell fri kommentar, max 2000 tegn."
"Personopplysninger";"PasientID";"PID";"Ja";"Tekstvariabel";"";"";"";"";"";"";;;;;11;1234567890;;"Nei";"Nei";"1980-01-01";"";"patient";"ID";;"PATIENT_ID";"Pasient ID - automatisk løpenummer i databasen."
"Personopplysninger";"Ikke overført";"Fødselsnummer";"Ja";"Tekstvariabel";"";"";"";"";"";"";;;;;11;"1234567890-";;"Nei";"Nei";"1980-01-01";"";"patient";"SSN";;"PATIENT_SSN";"Skriv inn fødselsnummer, 11 siffer. Følgende format for fødselsnummer: ddmmyyxxxxx"
"Personopplysninger";"Ikke overført";"Etternavn";"Ja";"Tekstvariabel";"";"";"";"";"";"";;;;;120;"aAáÁbBcCdDðÐeEéÉfFgGhHiIíÍjJkKlLmMnNoOóÓpPqQrRsStTuUvúÚVwWxXyYýÝzZþÞæÆøØåÅäÄöÖñÑéÉ-ü ÜáÁ´_/,.- + 1234567890ØøÜüß@_-!%:;?ÂâČčđŊŋŠšŦŧŽžƷʒǮǯǦǧǤǥǨǩÕõÏï";;"Nei";"Nei";"1980-01-01";"";"patient";"LASTNAME";;"PATIENT_LASTNAME";"Skriv inn personens etternavn, maks 120 tegn."
"Personopplysninger";"Ikke overført";"Fornavn";"Ja";"Tekstvariabel";"";"";"";"";"";"";;;;;120;"aAáÁbBcCdDðÐeEéÉfFgGhHiIíÍjJkKlLmMnNoOóÓpPqQrRsStTuUvúÚVwWxXyYýÝzZþÞæÆøØåÅäÄöÖñÑéÉ-ü ÜáÁ´_/,.- + 1234567890ØøÜüß@_-!%:;?ÂâČčđŊŋŠšŦŧŽžƷʒǮǯǦǧǤǥǨǩÕõÏï";;"Nei";"Nei";"1980-01-01";"";"patient";"FIRSTNAME";;"PATIENT_FIRSTNAME";"Skriv inn personens fornavn og mellomnavn, max 120 tegn."
"Personopplysninger";;"Fødselsdato";"Ja";"Datovariabel";"";"";"";"";"";"";"";"";"'1900-01-01'";"today";;;;"Nei";"Nei";"1980-01-01";"";"patient";"BIRTH_DATE";;"PATIENT_BIRTH_DATE";"Pasientens fødselsdato. Dato skrives på formatet yyyymmdd. Skriver du inn kun dag (dd), så autfylles nåværende måned og år. Skriver du inn måned og dato (mmdd), så autofylles nåværende år. Eksempel: For dato 23.11.1980 er følgende verdier gyldig: 801123, eller 19801123, eller 1980-11-23"
"Personopplysninger";;"Kjønn";"Ja";"Listevariabel";1;"Mann";"";"";"";"";;;;;;;;"Nei";"Nei";"1980-01-01";"";"patient";"GENDER";;"PATIENT_GENDER";"Angi pasientens kjønn."
"Personopplysninger";;"Kjønn";"Ja";"Listevariabel";2;"Kvinne";"";"";"";"";;;;;;;;"Nei";"Nei";"1980-01-01";"";"patient";"GENDER";;"PATIENT_GENDER";"Angi pasientens kjønn."
"Personopplysninger";;"Kjønn";"Ja";"Listevariabel";9;"Ukjent";"";"";"";"";;;;;;;;"Nei";"Nei";"1980-01-01";"";"patient";"GENDER";;"PATIENT_GENDER";"Angi pasientens kjønn."
"Personopplysninger";;"Avdød";"Ja";"Listevariabel";"0";"Nei";"";"";"";"";;;;;;;;"Ja";"Nei";"1980-01-01";"";"patient";"DECEASED";;"PATIENT_DECEASED";"Er personen avdød eller ikke. Døde personers forløp vil stenges og oppfølging avbrytes."
